id;produkt;kcal;bialko;weglowodany;tluszcze
457;Buraki tarte;44;1.8;9.5;0.1
458;Sos sojowy ciemny - Tao Tao;27;3.8;2.7;0.1
459;Papryka czerwona;26;1;6;0.3
460;Ser bialy chudy;113;25;2.2;0.5
461;Bagietka pelnoziarnista;260;8;54;1
462;Fasola czarna (ziarno suche);341;21.6;62.4;1.4
463;Bulka fitness;260;10.4;52;2.6
464;Czekolada gorzka - E. Wedel;502;8.4;39;32
465;Platki kukurydziane;399;7.7;88.8;0.3
466;Zupa pomidorowa z makaronem;158;8.9;17.3;5.8
467;Dzem truskawkowy niskoslodzony - Rapsodia;158;0.4;38;0.2
468;Serek Danio;112;5.2;15.8;3
469;Kawa rozpuszczalna Nescafe Classic - Nestle;118;7.8;3.1;0.2
470;Twarog Klinek 0% tluszczu - Biedronka;96;19.8;3.5;0.3
471;Kawa rozpuszczalna Creme Sensazione - Nescafe;120;7;3;0.2
472;Fasola czerwona konserwowa - Nasza Spizarnia;101;8.1;12;0.6
473;Kukurydza ugotowana (bez soli);96;3.4;21;1.5
474;Szynka z kurczaka;117;20;3;2.8
475;Mleko 0.5% Mleczna Dolina - Biedronka;35;3;4.7;0.5
476;swiezy sok jablkowy;47;0.3;10.4;0.3
477;Szynka konserwowa - Kraina Wedlin;109;19.1;1;2.8
478;Makaron jajeczny Nitki (ugotowany);140;4.9;28.7;0.7
479;Udko z kurczaka bez skory (gotowane);125;18;0;6
480;Maslo Ekstra 80 %;744;1;1;82
481;Makaron Spaghetti (ugotowany);154;7;30;1
482;Chleb Cale Ziarno - Biedronka;221;6.6;41;1.5
483;Orzeszki ziemne prazone bez soli;585;23.7;11.5;49.7
484;Makaron razowy (ugotowany);140;6;26;1
485;Ser Mozarella - Lidl;245;18;2;19
486;Kawa czarna mielona (do zaparzenia);2;0;0;0
487;Ser Blue z niebieska plesnia;357;18.5;1;31
488;Lubczyk - liscie;42;3.5;5;0.8
489;Kapary;23;2.4;4.9;0.9
490;Whisky;220;0;0;0
491;Mleko sojowe;41;2.9;3.3;1.7
492;Przyprawa papryka slodka;289;14.8;55.7;13
493;salata maslowa;13;1.4;2.2;0.3
494;Oliwa z oliwek - Monini;824;0;0;92
495;Szynka Babuni - Sokolow;97;18;1.3;2.2
496;Przyprawa cebula suszona;271;11.1;51.1;1.7
497;Poledwica wieprzowa (wedzona);165;19;1;9
498;Ser zolty Liliput - Serovit;335;25;0.1;26
499;Bulka z ziarnami;293;11.8;46.9;8.7
500;Jogurt smakowy 7 zboz - Bakoma;92;2.6;14.8;1.5
501;Tunczyk w oleju - Lidl;124;24.6;0.5;2.8
502;Granat;83;1.7;18.7;1.2
503;Chleb Zloty lan - Oskroba;261;9.5;45.3;3.6
504;Jablko gold;46;0.4;10.2;0.4
505;Chleb Domowy z ziarnami - Schulstad;304;9.9;50.5;6.2
506;Dzem niskoslodzony;143;0.2;38.3;0.1
507;Serek wiejski - Biedronka;99;11;3;5
508;Bulka - Bagietka;288;7.9;60.1;1.7
509;Golabki z ryzem i miesem;108;6.7;10.2;5.2
510;Bulka z dynia - Lidl;216;7;46;1.4
511;Kurkuma (proszek);354;8;65;10
512;Bulka ciabatta;259;8.2;48.8;3
513;Ziemniaki pieczone (z sola);93;2;21.6;0.1
514;Olej rzepakowy - Kujawski;900;0;0;100
515;Kielbasa podwawelska;254;17.3;0.9;19.6
516;Gulasz wieprzowy;186;11.3;5.9;14.7
517;Seler naciowy;14;0.7;3;0.2
518;Jogurt naturalny z wapniem - Tola;60;4.5;6;2
519;Kawa parzona z mlekiem;2;0.1;0;0.2
